,City,Lat,Lng,Temp,Humidity,Cloudiness,Wind Speed,City ID
291,havre-saint-pierre,56.575933940796915,-63.78855227516546,39.2,86,75,21.92,5972291
292,vardo,75.04534790324075,32.811928410553946,54.81,36,1,6.93,4372777
293,mahibadhoo,4.045553401250402,70.57651136354008,82.39,100,88,4.47,1337605
294,mount gambier,-39.96237889519737,139.29037415818868,57.5,66,64,6.93,2156643
295,kumla,58.90293736354431,14.96246405419626,44.63,100,88,2.8,2698767
296,colares,37.970164743753486,-14.209443401021872,54.48,87,20,3.36,2269142
297,aksarka,67.71180139702818,67.24324767562081,1.52,60,20,13.53,1512019
298,ikwiriri,-8.78389837774293,39.411181713180525,73.12,97,92,2.91,159242
300,kisangani,1.2988402423196703,26.12632582065558,69.83,100,36,1.9,212730
302,zhanaozen,43.019954950682234,53.28515571065452,19.52,68,0,2.91,607610
303,hamilton,32.56622377951834,-66.16474557738638,39.25,69,90,12.75,5969785
304,tallahassee,30.522659911442034,-84.5106505690625,70.57,100,90,3.36,4174715
305,hirara,26.828566450974805,124.8004765944732,81.52,69,40,8.05,1862505
306,emba,46.127980381440125,59.18626850090459,60.8,67,0,9.17,146639
307,okhotsk,59.93639554554284,141.49401603762738,9.62,100,0,7.16,2122605
308,fortuna,34.70664591749002,-141.62462336119063,50.0,87,0,3.36,2517679
309,tongliao,44.591458245987724,119.99536527886704,44.45,47,48,7.94,2034400
310,shimoda,25.757753241697955,141.89012421638233,68.0,60,20,23.04,1852357
311,bereda,14.398423759122608,51.758568083116415,48.2,76,0,6.93,3105522
312,srednekolymsk,74.64772327088448,155.9259569914937,-1.9,71,64,3.36,2121025
313,krasnovishersk,60.319181340469186,56.91152110602809,27.85,81,80,18.57,542184
314,kuryk,42.22625539456902,50.680801334713664,33.38,100,0,7.72,609919
315,botngard,63.58781732348237,9.872388297079283,43.29,65,0,21.92,3160491
316,luang prabang,20.383675241054178,102.82561157061923,75.82,74,0,2.35,1655559
317,baikunthpur,23.365249347810106,82.6136262372072,68.17,60,0,4.36,1277769
320,sechura,-8.823285247395177,-86.3408286908404,68.48,83,20,12.75,3691954
321,nkawkaw,6.392401244885519,-0.6435567374602158,71.5,100,48,3.13,2297313
322,grand gaube,-16.92956128056997,59.80295682905762,73.4,94,40,1.12,934479
323,copiapo,-27.715391419989814,-70.79565556075285,57.2,82,0,5.82,3893656
324,sitangkai,3.9385880078953903,119.29294264659325,85.72,97,20,8.39,1686004
325,caconda,-14.568890513807943,16.218141020891977,56.56,95,64,2.24,3351380
326,stephenville,49.21079656956212,-60.19667814674547,57.29,93,90,8.05,4734350
327,luderitz,-35.49336632846827,2.786484457469527,55.4,71,0,2.24,3355672
328,clarence town,23.27582976146178,-75.5921007093765,66.2,42,20,20.8,2171465
329,staryy nadym,67.13079878363706,73.5559233293053,3.95,63,48,14.54,1490918
